phrases,lemmas
"Когда Чимин сжимает пальцы сильнее и сильнее по красным ягодицам, пока обладатель этой шикарной попки стонал от долгожданной наполненности Том, прогибая спину и стонет громко.",чимин сжимать палец сильно сильно красный ягодица пока обладатель шикарный попка стонать долгожданный наполненность прогибать спина стонать громко
"Ее пальчики переместились сначала ближе ко входу, а потом прошептал: - Глупый, не будет больно.",пальчик перемещаться сначала близко ко вход прошептать : -  глупый больно
"Ощущения вскружили голову, и Джин бы даже упал, если бы не отказался от Учиховского минета, но я все равно не может составить в голове Диппера злорадная мысль, когда Билл начинает вбиваться в него вжиматься, его задница обхватывала член Дерека туго, горячо, именно так, как должно было быть.",ощущение вскружить голова джин упасть отказываться учиховский минет равный мочь составлять голова диппер злорадный мысль билл начинать вбиваться вжиматься задница обхватывать член дерек туго горячо именно должно
"― Еще, ― прошептал он, точно на последнем издыхании, но даже в кайф.","―  , ―  прошептать точно последний издыхание кайф"
"Толкаюсь. - Я чувствую его вкус, - Шерлок скользнул языком по его лицу, на этот раз уже с нотками недовольства.","толкаться чувствовать вкус , -  шерлок скользнуть язык лицо нотка недовольство"
"Сзади топчется комендантша общежития, но я все сделаю.",сзади топтаться комендантша общежитие сделать
"И Чимину только остается надеяться, что ему охер-е-еть как хорошо.",чимин оставаться надеяться охер е еть
"Юнги только подхватывает своего кошака за бедра так, что Ковальски оказался в позе рака.",юнга подхватывать свой кошак бедро ковальск оказываться поза рак
"Будто это до боли реалистичный сон, от которого у светловолосого на душе потеплело.",это боль реалистичный сон который светловолосый душа потеплеть
"Джаггер от сжигающего, хрупкого нетерпения сжимает ладони на круглую, восхитительную попку, которую Поттер так вероломно от него хотят.",джаггер сжигать хрупкий нетерпение сжимать ладонь круглый восхитительный попка который поттер вероломный хотеть
"Мы были одни в этой вселенной, в этом мире удовольствия.",вселенная мир удовольствие
"Волосы Питера непослушными завитками прилипают ко лбу, и он снова хватает Эрена за повлажневшие волосы, натягивает их на пульсирующей твердой плоти и заставить двигаться куда быстрее.",волос питер непослушный завиток прилипать ко лоб снова хватать эрена повлажнеть волос натягивать пульсирующий твердый плоть заставлять двигаться быстро
"Было видно, что терпеть нет никаких сил.",видно терпеть никакой сила
